	S00	S01	S02	S03	S04	S05	S06	S07
CXCL10	2353	4340	873	4234	4789	414	2903	4055
STAT1	1287	2119	3197	651	1401	381	470	184
IRF1	4991	4886	1045	2109	1789	275	4790	4524
ISG15	407	4573	4427	4218	3626	3593	157	1904
MX1	2170	2842	4973	1844	2300	4195	1449	4606
OAS1	3775	20	68	4423	349	824	143	594
KRT5	875	1399	703	4699	4953	706	3299	4447
KRT17	120	3336	92	3718	2397	567	3118	892
KRT14	364	167	689	4245	4188	487	3529	1176
MKI67	592	1435	3416	4788	1521	2394	1067	3535
TOP2A	4926	2290	813	3160	1419	1407	2994	353
CDK1	1245	4814	4378	3318	4414	1327	1851	2070
CCNB1	1897	1199	6	3921	2499	797	4779	2828
FOXM1	4727	2591	1433	1755	4034	1680	3219	3531
ESR1	3989	1937	2562	1431	4790	1482	751	4098
