sample	raw_reads_M	trimmed_reads_M	uniquely_aligned_pct	mean_phred	rRNA_pct	duplication_pct
TCGA-00	38	35	90.71	35.75	2.08	15.83
TCGA-01	45	42	89.06	37.21	0.65	12.73
TCGA-02	33	31	88.16	37.03	0.6	11.31
TCGA-03	36	33	89.43	36.7	2.91	11.51
TCGA-04	61	53	88.01	33.87	1.29	20.63
TCGA-05	40	38	90.94	36.83	1.73	13.32
TCGA-06	50	40	92.32	35.83	2.5	21.11
TCGA-07	54	50	95.14	34.72	2.41	13.0
TCGA-08	40	37	90.03	36.13	2.6	19.07
TCGA-09	37	34	90.6	34.06	2.55	15.39
TCGA-10	40	37	88.56	33.8	0.99	8.82
TCGA-11	36	33	90.24	33.09	1.96	19.12
TCGA-12	40	37	89.32	37.89	1.66	14.46
TCGA-13	31	29	95.39	36.64	0.78	16.94
TCGA-14	28	26	92.07	35.56	0.67	12.17
TCGA-15	43	27	88.54	33.03	3.05	17.95
TCGA-16	55	51	92.85	35.42	2.34	13.08
TCGA-17	30	28	90.56	36.31	2.44	19.93
TCGA-18	51	48	90.21	33.36	3.16	12.9
TCGA-19	33	31	90.62	37.47	1.45	10.35
TCGA-20	43	40	88.59	35.97	2.86	19.28
TCGA-21	35	33	91.13	34.05	1.3	18.91
TCGA-22	39	36	91.04	34.97	1.54	11.44
TCGA-23	52	48	92.27	37.25	0.53	13.5
