gene	symbol	log2FoldChange	lfcSE	pvalue	padj
ENSG0104950	GENE4950	-2.278	0.123	2.8584774575013405e-05	3.6797686003925446e-06
ENSG0107689	GENE7689	6.005	0.177	0.0012745498696665747	5.729478545716959e-06
ENSG0100619	GENE619	3.612	0.294	0.0001510802099143893	5.851374142586651e-06
ENSG0112375	GENE12375	-4.403	0.372	0.0007646217064952721	1.4540658750593474e-05
ENSG0107507	GENE7507	-4.094	0.167	0.0012511883982191385	3.1423928570563574e-05
ENSG0112484	GENE12484	-6.37	0.159	0.009745481312931958	3.155656182634772e-05
ENSG0106132	GENE6132	-1.668	0.399	0.00024874348745274055	5.542348783331992e-05
ENSG0111037	GENE11037	0.748	0.264	0.00013345574651424386	6.809350291827557e-05
ENSG0111626	GENE11626	2.717	0.422	0.0009309919304917313	8.075202345638937e-05
ENSG0112800	GENE12800	6.406	0.155	0.029808306446776456	9.339173523558639e-05
ENSG0108674	GENE8674	-6.267	0.446	0.027460522641757468	9.753526911435784e-05
ENSG0108711	GENE8711	-0.357	0.357	0.00015184604291185178	0.00011014400283799385
ENSG0107386	GENE7386	-5.068	0.263	0.011023392632428908	0.00011522198358387942
ENSG0116352	GENE16352	1.047	0.436	0.00029921547777589375	0.00011663558453629094
ENSG0115517	GENE15517	6.73	0.261	0.05269627091802864	0.00012342565227262456
ENSG0112229	GENE12229	-4.523	0.353	0.007800947976417283	0.00013312777357342952
ENSG0110942	GENE10942	-4.749	0.154	0.009809888136954492	0.000136559773871342
ENSG0106046	GENE6046	-6.497	0.439	0.04943497174907252	0.0001427324849241014
ENSG0100427	GENE427	-4.585	0.191	0.01017692370838652	0.00016424244480862447
ENSG0108213	GENE8213	-1.972	0.149	0.001006674806609098	0.00017067488210731932
ENSG0111363	GENE11363	1.789	0.2	0.0008571267200035981	0.00017127145447007273
ENSG0117980	GENE17980	-0.639	0.271	0.00030786971663643303	0.00017321319391559075
